Team,Player,PPG,APG,Conf
Stanford,Ebuka Okorie,22.8,3.4,ACC
Duke,Cameron Boozer,22.7,4.0,ACC
Wake Forest,Juke Harris,21.7,1.6,ACC
North Carolina,Caleb Wilson,19.8,2.7,ACC
Miami (FL),Malik Reneau,19.6,2.1,ACC
Louisville,Mikel Brown Jr.,18.9,4.8,ACC
SMU,Kevin Miller,18.6,6.8,ACC
Louisville,Ryan Conwell,18.5,2.6,ACC
Notre Dame,Markus Burton,18.5,3.7,ACC
SMU,Jaron Pierre Jr.,17.4,1.9,ACC
Syracuse,Donnie Freeman,16.7,1.4,ACC
California,Dai Dai Ames,16.6,2.3,ACC
Miami (FL),Tre Donaldson,16.6,5.9,ACC
North Carolina,Henri Veesaar,16.3,1.9,ACC
Virginia,Thijs De Ridder,16.0,1.6,ACC
Boston College,Fred Payne,15.7,2.6,ACC
Florida State,Robert McCray V,15.5,5.9,ACC
Notre Dame,Jalen Haralson,15.5,2.6,ACC
California,Justin Pippen,15.0,4.4,ACC
Georgia Tech,Kowacie Reeves Jr.,14.7,1.2,ACC
Virginia Tech,Amani Hansberry,14.7,2.5,ACC
Duke,Isaiah Evans,14.5,1.2,ACC
California,John Camden,14.4,1.6,ACC
Miami (FL),Shelton Henderson,14.3,2.0,ACC
North Carolina,Seth Trimble,14.2,2.4,ACC
NC State,Darrion Williams,14.2,2.9,ACC
California,Chris Bell,14.0,0.7,ACC
Stanford,Chisom Okpara,13.9,2.2,ACC
NC State,Paul McNeil Jr.,13.8,0.9,ACC
NC State,Quadir Copeland,13.6,6.8,ACC
NC State,Ven-Allen Lubin,13.5,1.0,ACC
Boston College,Donald Hand Jr.,13.4,1.4,ACC
Pittsburgh,Cameron Corhen,12.8,1.9,ACC
Georgia Tech,Baye Ndongo,12.7,2.5,ACC
SMU,B.J. Edwards,12.7,4.9,ACC
Virginia Tech,Ben Hammond,12.6,3.2,ACC
Florida State,Chauncey Wiggins,12.5,1.0,ACC
Pittsburgh,Brandin Cummings,12.5,2.1,ACC
Syracuse,JJ Starling,12.4,2.3,ACC
Virginia,Malik Thomas,12.3,1.7,ACC
Florida State,Lajae Jones,12.2,1.0,ACC
Notre Dame,Cole Certa,12.1,0.8,ACC
Virginia Tech,Neoklis Avdalas,12.1,4.9,ACC
Virginia Tech,Toibu Lawal,11.9,0.6,ACC
Pittsburgh,Barry Dunning Jr.,11.8,0.9,ACC
Miami (FL),Tru Washington,11.6,1.6,ACC
Notre Dame,Braeden Shrewsberry,11.6,1.9,ACC
SMU,Corey Washington,11.6,0.8,ACC
Clemson,RJ Godfrey,11.5,1.6,ACC
Wake Forest,Myles Colvin,11.5,1.3,ACC
Virginia Tech,Jailen Bedford,11.4,1.2,ACC
Louisville,J'Vonne Hadley,11.3,1.7,ACC
Syracuse,Nate Kingz,11.3,1.3,ACC
Virginia,Sam Lewis,10.9,1.4,ACC
SMU,Samet Yigitoglu,10.8,1.7,ACC
Wake Forest,Tre'Von Spillers,10.8,1.8,ACC
Duke,Patrick Ngongba,10.7,2.0,ACC
Stanford,Benny Gealer,10.7,1.8,ACC
Louisville,Isaac McKneely,10.6,1.2,ACC
Pittsburgh,Roman Siulepa,10.5,1.0,ACC
Clemson,Carter Welling,10.3,1.3,ACC
Syracuse,Naithan George,10.3,5.3,ACC
Georgia Tech,Lamar Washington,10.2,5.1,ACC
Virginia,Chance Mallory,10.2,3.7,ACC
Wake Forest,Nate Calmese,10.1,4.8,ACC
North Carolina,Luka Bogavac,10.0,2.3,ACC
Boston College,Boden Kapke,9.9,0.7,ACC
Clemson,Jestin Porter,9.7,1.3,ACC
Georgia Tech,Akai Fleming,9.7,1.3,ACC
Georgia Tech,Mouhamed Sylla,9.6,0.6,ACC
Louisville,Sananda Fru,9.6,1.3,ACC
NC State,Tre Holloman,9.6,2.2,ACC
Georgia Tech,Jaeden Mustaf,9.5,2.3,ACC
Virginia Tech,Tyler Johnson,9.5,1.9,ACC
Clemson,Nick Davidson,9.2,1.2,ACC
Syracuse,William Kyle III,8.9,1.0,ACC
Virginia,Jacari White,8.9,1.5,ACC
Duke,Caleb Foster,8.8,2.6,ACC
Pittsburgh,Damarco Minor,8.8,3.3,ACC
NC State,Matt Able,8.7,0.9,ACC
Florida State,Martin Somerville,8.6,2.2,ACC
Florida State,Kobe MaGee,8.4,0.9,ACC
Syracuse,Kiyan Anthony,8.4,1.0,ACC
Clemson,Ace Buckner,8.3,1.6,ACC
California,Lee Dort,8.2,1.1,ACC
Stanford,Jeremy Dent-Smith,8.2,1.7,ACC
Pittsburgh,Nojus Indrusaitis,8.1,1.6,ACC
Louisville,Adrian Wooley,8.0,1.5,ACC
North Carolina,Jarin Stevenson,7.9,0.9,ACC
Virginia Tech,Jaden Schutt,7.9,0.8,ACC
SMU,Jaden Toombs,7.8,0.9,ACC
Virginia,Johann GrÃ¼nloh,7.8,0.8,ACC
Clemson,Dillon Hunter,7.7,3.0,ACC
Georgia Tech,Kam Craft,7.3,0.9,ACC
Wake Forest,Mekhi Mason,7.3,1.2,ACC
Pittsburgh,Omari Witherspoon,7.2,2.4,ACC
Stanford,AJ Rohosy,7.1,0.6,ACC
Florida State,Alex Steen,7.0,0.9,ACC
Clemson,Zac Foster,6.9,2.5,ACC
Miami (FL),Ernest Udeh Jr.,6.9,0.5,ACC
Syracuse,Tyler Betsey,6.9,0.3,ACC
Boston College,Luka Toews,6.8,2.4,ACC
Miami (FL),Dante Allen,6.7,2.1,ACC
Duke,Cayden Boozer,6.5,2.9,ACC
Boston College,Jayden Hastings,6.4,0.8,ACC
Stanford,Aidan Cammann,6.4,1.4,ACC
Notre Dame,Carson Towt,6.3,1.7,ACC
Virginia,Ugonna Onyenso,6.3,0.6,ACC
Wake Forest,Omaha Biliew,6.2,0.4,ACC
Louisville,Khani Rooths,6.1,1.1,ACC
NC State,Jerry Deng,6.1,0.4,ACC
Clemson,Jake Wahlin,6.0,0.7,ACC
Stanford,Ryan Agarwal,6.0,0.8,ACC
Boston College,Chase Forte,5.9,2.9,ACC
Notre Dame,Sir Mohammed,5.9,1.5,ACC
Virginia,Dallin Hall,5.9,4.2,ACC
Duke,Dame Sarr,5.8,1.0,ACC
Syracuse,Sadiq White Jr.,5.8,0.5,ACC
Virginia Tech,Christian Gurdak,5.8,0.2,ACC
Duke,Nikolas Khamenia,5.7,1.1,ACC
Florida State,Thomas Bassong,5.7,0.4,ACC
North Carolina,Derek Dixon,5.7,2.6,ACC
Clemson,Efrem Johnson,5.5,0.9,ACC
Florida State,Cam Miles,5.5,1.8,ACC
Notre Dame,Brady Koehler,5.4,0.3,ACC
California,Rytis Petraitis,5.3,1.0,ACC
Miami (FL),Marcus Allen,5.3,1.6,ACC
Wake Forest,Sebastian Akins,5.1,1.9,ACC
SMU,Jermaine O'Neal Jr.,5.0,0.4,ACC
Wake Forest,Cooper Schwieger,5.0,0.8,ACC
Virginia,Devin Tillis,4.9,1.4,ACC
Miami (FL),Timotej Malovec,4.8,1.0,ACC
North Carolina,Jonathan Powell,4.8,0.8,ACC
Duke,Maliq Brown,4.6,1.8,ACC
NC State,Alyn Breed,4.6,1.4,ACC
Georgia Tech,Chas Kelley III,4.5,1.6,ACC
North Carolina,Kyan Evans,4.5,2.8,ACC
Boston College,Aidan Shaw,4.4,0.8,ACC
Notre Dame,Logan Imes,4.4,1.7,ACC
Florida State,AJ Swinton,4.3,0.3,ACC
California,Semetri (TT) Carr,3.9,2.2,ACC
NC State,Terrance Arceneaux,3.9,0.5,ACC
Duke,Darren Harris,3.8,0.5,ACC
California,Milos Ilic,3.7,1.4,ACC
Louisville,Kobe Rodgers,3.7,1.5,ACC
Notre Dame,Garrett Sundra,3.6,0.5,ACC
Boston College,Caleb Steger,3.5,0.2,ACC
Georgia Tech,Peyton Marshall,3.5,0.9,ACC
Stanford,Oskar Giltay,3.5,0.4,ACC
Boston College,Jason Asemota,3.3,0.1,ACC
Louisville,Aly Khalifa,3.2,2.8,ACC
North Carolina,Zayden High,3.0,0.5,ACC
Notre Dame,Ryder Frost,3.0,0.1,ACC
Syracuse,Calvin Russell III,3.0,0.0,ACC
California,DJ Campbell,2.8,0.8,ACC
Miami (FL),Noam Dovrat,2.8,1.2,ACC
Pittsburgh,Papa Amadou Kante,2.8,0.9,ACC
NC State,Musa Sagnia,2.7,0.3,ACC
SMU,Sam Walters,2.7,0.3,ACC
Virginia Tech,Antonio Dorn,2.7,0.4,ACC
Georgia Tech,Eric Chatfield Jr.,2.6,1.4,ACC
Louisville,Kasean Pryor,2.6,0.3,ACC
Notre Dame,Kebba Njie,2.5,0.2,ACC
Clemson,Dallas Thomas,2.4,0.1,ACC
Florida State,Shahid Muhammad,2.3,0.2,ACC
Stanford,Cameron Grant,2.3,0.4,ACC
Boston College,Marko Radunovic,2.2,0.2,ACC
Notre Dame,Matthew MacLellan,2.1,0.1,ACC
Stanford,Donavin Young,2.1,0.6,ACC
Wake Forest,Isaac Carr,2.1,1.3,ACC
North Carolina,Jaydon Young,2.0,0.4,ACC
Virginia Tech,Izaiah Pasha,2.0,0.7,ACC
Wake Forest,Vincent Ricchiuti,2.0,0.0,ACC
California,Mantas Kocanas,1.9,0.1,ACC
California,Nolan Dorsey,1.9,0.3,ACC
Clemson,Chase Thompson,1.9,0.3,ACC
Louisville,Vangelis Zougris,1.9,0.7,ACC
North Carolina,Isaiah Denis,1.9,0.1,ACC
SMU,Mitchell Holmes,1.9,0.2,ACC
Florida State,Alier Maluk,1.8,0.3,ACC
Miami (FL),Salih Altuntas,1.8,0.1,ACC
Stanford,Evan Stinson,1.8,0.3,ACC
Virginia,Elijah Gertrude,1.8,0.7,ACC
Wake Forest,Jaylen Cross,1.8,0.4,ACC
Georgia Tech,Cole Kirouac,1.7,0.4,ACC
Georgia Tech,Davi Remagen,1.6,0.7,ACC
NC State,Scottie Ebube,1.5,0.0,ACC
Pittsburgh,Macari Moore,1.5,0.7,ACC
Wake Forest,Marqus Marion,1.5,0.7,ACC
North Carolina,Evan Smith,1.4,0.6,ACC
SMU,B.J. Davis-Ray,1.4,0.4,ACC
Stanford,Jaylen Thompson,1.3,0.1,ACC
Florida State,Jalen Crawford,1.2,0.0,ACC
Louisville,Cole Sherman,1.2,0.1,ACC
Miami (FL),John Laboy II,1.2,0.5,ACC
North Carolina,James Brown,1.2,0.3,ACC
Syracuse,Luke Fennell,1.1,0.4,ACC
Clemson,Trent Steinour,1.0,0.0,ACC
NC State,Jordan Snell,0.9,0.3,ACC
Virginia,Martin Carrere,0.9,0.4,ACC
Duke,Ifeanyi Ufochukwu,0.8,0.0,ACC
Louisville,Spencer Legg,0.8,0.2,ACC
Pittsburgh,Kieran Mullen,0.8,0.1,ACC
Stanford,Kristers Skrinda,0.8,0.1,ACC
Syracuse,Bryce Zephir,0.8,0.3,ACC
Syracuse,Ibrahim Souare,0.8,0.2,ACC
Duke,Cameron Sheffield,0.7,0.1,ACC
North Carolina,Elijah Davis,0.6,0.0,ACC
Notre Dame,Brady Stevens,0.6,0.2,ACC
Virginia Tech,Sin'Cere Jones,0.6,0.0,ACC
California,Dhiaukuei Manyiel Dut,0.5,0.1,ACC
Duke,Jack Scott,0.5,0.2,ACC
North Carolina,Ivan Matlekovic,0.5,0.0,ACC
Notre Dame,Mark Zackery IV,0.5,0.3,ACC
Syracuse,Tiefing Diawara,0.5,0.0,ACC
Miami (FL),Jordyn Kee,0.4,0.3,ACC
SMU,Chance Puryear,0.4,0.0,ACC
Virginia,Owen Odom,0.4,0.0,ACC
California,Sammie Yeanay,0.3,0.3,ACC
NC State,Colt Langdon,0.3,0.0,ACC
Virginia,Carter Lang,0.3,0.3,ACC
Louisville,Will Hanke,0.2,0.0,ACC
North Carolina,John Holbrook,0.2,0.0,ACC
Boston College,Jack DiDonna,0.0,0.0,ACC
Boston College,Kany Tchanda,0.0,0.0,ACC
Boston College,Will Eggemeier,0.0,0.0,ACC
California,BJ Fisher,0.0,0.0,ACC
California,Luke Butler,0.0,0.0,ACC
California,Stephon Marbury II,0.0,0.0,ACC
Georgia Tech,Brandon Stores Jr.,0.0,0.0,ACC
SMU,Niccolo Kalischer-Stork,0.0,0.0,ACC
SMU,Nigel Walls,0.0,0.2,ACC
SMU,Trey Utter,0.0,0.0,ACC
Stanford,Ethan Kitch,0.0,0.0,ACC
Stanford,Tallis Toure,0.0,0.0,ACC
Syracuse,Noah Lobdell,0.0,0.0,ACC
Virginia,Desmond Roberts,0.0,0.0,ACC
Wake Forest,Anson Beard Jr.,0.0,0.0,ACC
Wake Forest,Will Underwood,0.0,0.0,ACC
Arkansas,Darius Acuff Jr.,22.2,6.2,SEC
Mississippi State,Josh Hubbard,21.6,3.6,SEC
Alabama,Labaron Philon,21.3,5.0,SEC
Auburn,Keyshawn Hall,20.8,2.8,SEC
Vanderbilt,Tyler Tanner,18.5,5.2,SEC
Tennessee,Ja'Kobi Gillespie,18.1,5.4,SEC
Texas,Dailyn Swain,18.0,3.2,SEC
Tennessee,Nate Ament,17.9,2.5,SEC
Georgia,Jeremiah Wilkinson,17.7,1.8,SEC
Kentucky,Otega Oweh,17.5,2.6,SEC
Missouri,Mark Mitchell,17.4,3.8,SEC
South Carolina,Meechie Johnson Jr.,17.1,4.3,SEC
Alabama,Aden Holloway,16.9,4.1,SEC
Florida,Thomas Haugh,16.9,2.0,SEC
Vanderbilt,Duke Miles,16.3,4.3,SEC
Oklahoma,Nijel Pack,16.0,2.9,SEC
Texas,Matas Vokietaitis,15.6,0.5,SEC
Louisiana State,Max Mackinnon,15.5,2.6,SEC
Oklahoma,Xzayvier Brown,15.4,3.1,SEC
Louisiana State,Dedan Thomas Jr.,15.3,6.5,SEC
Arkansas,Meleek Thomas,15.2,2.5,SEC
Ole Miss,AJ Storr,14.7,2.0,SEC
Auburn,Tahaad Pettiford,14.4,3.6,SEC
Florida,Alex Condon,14.3,3.6,SEC
Ole Miss,Malik Dia,14.1,0.9,SEC
Missouri,Jayden Stone,14.1,2.0,SEC
Texas A&M,Rashaun Agee,14.1,2.5,SEC
Vanderbilt,Tyler Nickel,14.1,1.3,SEC
Mississippi State,Jayden Epps,14.0,2.2,SEC
Georgia,Blue Cain,13.7,2.5,SEC
Louisiana State,Marquel Sutton,13.5,0.6,SEC
Louisiana State,Michael Nwoko,13.1,0.8,SEC
Texas,Tramon Mark,13.1,1.9,SEC
Texas,Jordan Pope,13.0,2.0,SEC
Kentucky,Denzel Aberdeen,12.9,3.3,SEC
Alabama,Latrell Wrightsell Jr.,12.7,2.2,SEC
Arkansas,Trevon Brazile,12.7,1.7,SEC
Auburn,Kevin Overton,12.7,1.1,SEC
Alabama,Amari Allen,12.5,3.4,SEC
Oklahoma,Tae Davis,12.3,2.3,SEC
Georgia,Marcus Millender,11.8,3.9,SEC
Oklahoma,Derrion Reid,11.6,1.1,SEC
Florida,Boogie Fland,11.5,3.4,SEC
Florida,Xaivian Lee,11.4,3.9,SEC
Florida,Rueben Chinyelu,11.3,0.7,SEC
Ole Miss,Ilias Kamardine,11.3,3.9,SEC
Alabama,Aiden Sherrell,11.2,1.0,SEC
Auburn,KeShawn Murphy,11.1,1.2,SEC
South Carolina,Mike Sharavjamts,11.1,2.5,SEC
Texas A&M,Marcus Hill,11.1,1.7,SEC
Texas A&M,Rylan Griffen,11.0,2.8,SEC
Arkansas,Billy Richmond III,10.9,1.9,SEC
Georgia,Kanon Catchings,10.9,1.3,SEC
Texas A&M,RubÃ©n Dominguez,10.8,1.6,SEC
Missouri,Trent Pierce,10.7,1.2,SEC
South Carolina,Elijah Strong,10.7,1.0,SEC
South Carolina,Kobe Knox,10.6,2.1,SEC
Vanderbilt,Devin McGlockton,10.5,1.4,SEC
Texas A&M,Mackenzie Mgbako,10.4,1.3,SEC
Alabama,Charles Bediako,10.0,0.2,SEC
Florida,Urban Klavzar,10.0,1.3,SEC
Kentucky,Collin Chandler,10.0,2.2,SEC
Georgia,Somto Cyril,9.8,0.5,SEC
Arkansas,Malique Ewin,9.6,0.9,SEC
Louisiana State,Jalen Reed,9.5,0.7,SEC
Texas A&M,Pop Isaacs,9.5,2.3,SEC
Vanderbilt,AK Okereke,9.4,1.9,SEC
Missouri,Jacob Crews,9.3,0.3,SEC
Tennessee,J.P. Estrella,9.3,0.7,SEC
Auburn,Elyjah Freeman,9.2,1.1,SEC
South Carolina,Eli Ellis,9.2,2.0,SEC
Missouri,Anthony Robinson II,9.0,3.1,SEC
Vanderbilt,Jalen Washington,8.9,1.0,SEC
Ole Miss,Patton Pinkins,8.8,0.8,SEC
Missouri,T.O. Barrett,8.8,2.8,SEC
Kentucky,Malachi Moreno,8.4,1.7,SEC
Arkansas,Karter Knox,8.1,1.2,SEC
Mississippi State,Ja'Borri McGhee,8.1,2.1,SEC
Kentucky,Jaland Lowe,8.0,2.4,SEC
Kentucky,Mouhamed Dioubate,8.0,1.0,SEC
Louisiana State,Pablo Tamba,7.8,1.4,SEC
Vanderbilt,Frankie Collins,7.8,4.7,SEC
Tennessee,Jaylen Carey,7.5,1.4,SEC
Auburn,Sebastian Williams-Adams,7.3,1.6,SEC
Missouri,Shawn Phillips Jr.,7.3,0.7,SEC
Alabama,Houston Mallette,7.2,1.0,SEC
Arkansas,D.J. Wagner,7.2,2.4,SEC
Tennessee,Felix Okpara,7.2,0.5,SEC
Texas A&M,Zach Clemence,7.2,0.9,SEC
Texas A&M,Jacari Lane,7.1,3.5,SEC
Missouri,Sebastian Mack,7.0,0.6,SEC
Oklahoma,Kuol Atak,7.0,0.2,SEC
Alabama,Taylor Bol Bowen,6.9,0.4,SEC
Kentucky,Kam Williams,6.9,1.0,SEC
Georgia,Jordan Ross,6.8,2.4,SEC
Oklahoma,Mohamed Wague,6.8,1.2,SEC
Tennessee,Bishop Boswell,6.8,3.0,SEC
Texas,Simeon Wilcher,6.8,2.0,SEC
Ole Miss,Kezza Giffa,6.6,1.4,SEC
Alabama,London Jemison,6.5,0.3,SEC
Texas,Camden Heide,6.5,0.6,SEC
Mississippi State,Achor Achor,6.4,0.4,SEC
Mississippi State,Quincy Ballard,6.3,0.5,SEC
Missouri,Jevon Porter,6.2,1.6,SEC
South Carolina,Myles Stute,6.1,0.9,SEC
Vanderbilt,Tyler Harris,6.1,0.3,SEC
Auburn,Filip Jovic,6.0,0.5,SEC
Louisiana State,Rashad King,6.0,1.2,SEC
Louisiana State,Robert Miller III,5.9,0.7,SEC
Texas,Chendall Weaver,5.9,1.3,SEC
Kentucky,Andrija Jelavic,5.8,0.6,SEC
Oklahoma,Jadon Jones,5.8,0.7,SEC
Kentucky,Jasper Johnson,5.7,1.7,SEC
Tennessee,DeWayne Brown II,5.6,1.0,SEC
Oklahoma,Dayton Forsythe,5.5,1.8,SEC
Texas A&M,Ali Abdou Dibba,5.5,0.8,SEC
Georgia,Jake Wilkins,5.4,0.4,SEC
Mississippi State,Shawn Jones Jr.,5.4,1.5,SEC
Florida,Isaiah Brown,5.3,0.6,SEC
Mississippi State,Sergej Macura,5.3,1.0,SEC
Louisiana State,Jalen Reece,5.1,3.2,SEC
Kentucky,Jayden Quaintance,5.0,0.5,SEC
Ole Miss,Travis Perry,5.0,0.9,SEC
Arkansas,Nick Pringle,4.9,0.6,SEC
Alabama,Jalil Bethea,4.8,0.6,SEC
Mississippi State,King Grace,4.8,0.5,SEC
Mississippi State,Brandon Walker,4.7,0.5,SEC
Texas A&M,Josh Holloway,4.7,1.9,SEC
Ole Miss,Eduardo Klafke,4.5,1.1,SEC
Georgia,Dylan James,4.4,0.5,SEC
Georgia,Justin Bailey,4.3,0.7,SEC
Kentucky,Brandon Garrison,4.3,1.2,SEC
Oklahoma,Kirill Elatontsev,4.3,0.7,SEC
Georgia,Kareem Stagg,4.2,0.5,SEC
Florida,Micah Handlogten,4.1,0.6,SEC
Arkansas,Isaiah Sealy,3.9,0.8,SEC
South Carolina,Grant Polk,3.9,0.2,SEC
Texas,Nic Codie,3.9,0.4,SEC
Auburn,Emeka Opurum,3.8,0.2,SEC
Tennessee,Amaree Abram,3.8,0.8,SEC
Tennessee,Cade Phillips,3.8,0.4,SEC
Louisiana State,PJ Carter,3.7,0.3,SEC
Mississippi State,Jamarion Davis-Fleming,3.7,0.6,SEC
Alabama,Keitenn Bristow,3.6,0.5,SEC
Texas A&M,Jamie Vinson,3.5,0.4,SEC
Tennessee,Amari Evans,3.4,0.7,SEC
Texas,Lassina Traore,3.4,0.6,SEC
Vanderbilt,Chandler Bing,3.4,0.4,SEC
Alabama,Davion Hannah,3.3,0.8,SEC
Auburn,Kaden Magwood,3.3,1.9,SEC
Mississippi State,Amier Ali,3.2,0.2,SEC
Kentucky,Trent Noah,3.1,0.5,SEC
Ole Miss,James Scott,3.1,0.5,SEC
Missouri,Luke Northweather,3.1,0.6,SEC
South Carolina,EJ Walker,3.1,0.2,SEC
South Carolina,Jordan Butler,3.1,0.2,SEC
Georgia,Justin Abson,2.9,0.4,SEC
Ole Miss,Corey Chest,2.9,0.7,SEC
Oklahoma,Jeff Nwankwo,2.9,0.7,SEC
South Carolina,Nordin Kapic,2.8,0.3,SEC
Auburn,Simon Walker,2.7,0.2,SEC
Missouri,Annor Boateng,2.7,0.3,SEC
Ole Miss,Augusto Cassia,2.4,0.6,SEC
South Carolina,Hayden Assemian,2.4,0.3,SEC
Tennessee,Ethan Burg,2.4,1.1,SEC
South Carolina,Christ Essandoko,2.3,0.4,SEC
Louisiana State,Ron Zipper,2.2,0.2,SEC
Tennessee,Troy Henderson,2.1,1.2,SEC
Texas A&M,Federiko Federiko,2.1,0.5,SEC
Auburn,Abdullahi Bashir,2.0,0.5,SEC
Ole Miss,Koren Johnson,2.0,1.3,SEC
Louisiana State,Mazi Mosley,1.8,0.3,SEC
Missouri,Trent Burns,1.8,0.1,SEC
Florida,CJ Ingram II,1.7,0.3,SEC
Vanderbilt,Michael James,1.5,0.8,SEC
Ole Miss,Hobert Grayson IV,1.4,0.2,SEC
Oklahoma,Kai Rogers,1.4,0.4,SEC
Texas,Declan Duru Jr.,1.4,0.0,SEC
Mississippi State,Dellquan Warren,1.3,0.9,SEC
Florida,Alex Lloyd,1.2,0.2,SEC
Alabama,Noah Williamson,1.1,0.3,SEC
Florida,Viktor Mikic,1.1,0.2,SEC
Georgia,Brandon Klatsky,1.1,0.0,SEC
Ole Miss,Max Smith,1.1,0.1,SEC
Ole Miss,Zach Day,1.1,0.3,SEC
Texas A&M,Noah Shelby,1.1,0.0,SEC
Vanderbilt,Jayden Leverett,1.1,0.1,SEC
Alabama,Collins Onyejiaka,1.0,0.0,SEC
Auburn,CJ Williams,1.0,0.7,SEC
Oklahoma,Alec Blair,1.0,0.0,SEC
Texas,Anthon McDermott,0.9,0.3,SEC
Texas A&M,Jeremiah Green,0.9,0.5,SEC
Vanderbilt,Jaylon Dean-Vines,0.9,0.2,SEC
Missouri,Nicholas Randall,0.8,0.2,SEC
Texas,Brandon Taylor,0.8,0.0,SEC
Texas A&M,Chris McDermott,0.7,0.2,SEC
Arkansas,Ayden Kelley,0.6,0.0,SEC
Arkansas,Jaden Karuletwa,0.6,0.1,SEC
Auburn,Blake Muschalek,0.6,0.2,SEC
Florida,Olivier Rioux,0.6,0.0,SEC
Kentucky,Zach Tow,0.6,0.0,SEC
Ole Miss,Niko Bundalo,0.5,0.0,SEC
Oklahoma,Reid Lovelace,0.5,0.3,SEC
South Carolina,Eli Sparkman,0.5,0.3,SEC
Texas,Cole Bott,0.5,0.2,SEC
Alabama,Jacob Martin,0.4,0.1,SEC
Alabama,Preston Murphy Jr.,0.4,0.4,SEC
Arkansas,Elmir Dzafic,0.4,0.0,SEC
Kentucky,Walker Horn,0.4,0.1,SEC
Tennessee,Clarence Massamba,0.4,0.3,SEC
Vanderbilt,Mason Nicholson,0.4,0.0,SEC
Vanderbilt,Miles Keeffe,0.4,0.1,SEC
Florida,Alex Kovatchev,0.3,0.1,SEC
Georgia,Jaden Newell,0.3,0.0,SEC
Arkansas,Amere Brown,0.1,0.0,SEC
Alabama,Jack Fagan,0.0,0.0,SEC
Alabama,Klark James,0.0,0.0,SEC
Auburn,Drake Cardwell,0.0,0.0,SEC
Auburn,Reed Trapp,0.0,0.0,SEC
Florida,Cooper Josefsberg,0.0,0.0,SEC
Georgia,Markel Jennings,0.0,0.0,SEC
Louisiana State,Jaden Bobbett,0.0,0.1,SEC
Oklahoma,Jake Hansen,0.0,0.0,SEC
Tennessee,Campbell Duncan,0.0,0.0,SEC
Tennessee,Gavin Paull,0.0,0.0,SEC
Tennessee,Grant Hurst,0.0,0.0,SEC
Vanderbilt,Coleson Messer,0.0,0.0,SEC
Brigham Young,AJ Dybantsa,25.1,3.8,BIG-12
Kansas State,PJ Haggerty,23.5,3.9,BIG-12
Texas Tech,JT Toppin,21.8,2.1,BIG-12
Utah,Terrence Brown,20.1,3.8,BIG-12
Texas Tech,Christian Anderson,19.6,7.7,BIG-12
Kansas,Darryn Peterson,19.5,1.4,BIG-12
Baylor,Cameron Carr,18.9,2.7,BIG-12
Brigham Young,Robert Wright III,18.1,4.9,BIG-12
Brigham Young,Richie Saunders,18.0,2.1,BIG-12
Baylor,Tounde Yessoufou,17.9,1.6,BIG-12
Iowa State,Milan Momcilovic,17.4,1.0,BIG-12
Utah,Don McHenry,17.3,1.8,BIG-12
Arizona State,Moe Odum,17.2,5.9,BIG-12
Oklahoma State,Anthony Roy,16.8,1.3,BIG-12
Houston,Kingston Flemings,16.6,5.1,BIG-12
Iowa State,Joshua Jefferson,16.6,5.2,BIG-12
Colorado,Isaiah Johnson,16.3,2.8,BIG-12
Houston,Emanuel Sharp,16.0,1.9,BIG-12
Arizona,Brayden Burries,15.5,2.6,BIG-12
West Virginia,Honor Huff,15.5,1.6,BIG-12
Oklahoma State,Parsa Fallah,14.7,0.8,BIG-12
UCF,Themus Fulks,14.3,6.9,BIG-12
Kansas,Flory Bidunga,14.3,1.7,BIG-12
Colorado,Barrington Hargress,14.2,4.4,BIG-12
UCF,Riley Kugel,14.0,2.7,BIG-12
Kansas,Tre White,14.0,1.9,BIG-12
Arizona,Jaden Bradley,13.9,4.7,BIG-12
TCU,David Punch,13.9,2.0,BIG-12
Arizona,Koa Peat,13.8,2.6,BIG-12
Arizona State,Massamba Diop,13.8,1.1,BIG-12
Cincinnati,Baba Miller,13.8,3.4,BIG-12
Arizona State,Anthony Johnson,13.6,1.8,BIG-12
Kansas,Melvin Council Jr.,13.5,5.1,BIG-12
UCF,Jordan Burks,13.4,0.6,BIG-12
Kansas State,Abdi Bashir Jr.,13.2,2.3,BIG-12
Iowa State,Tamin Lipsey,13.0,5.2,BIG-12
Texas Tech,Donovan Atwell,13.0,0.8,BIG-12
TCU,Xavier Edmonds,12.6,1.0,BIG-12
Utah,Keanu Dawes,12.5,2.2,BIG-12
Colorado,Sebastian Rancik,12.3,2.0,BIG-12
Cincinnati,Moustapha Thiam,12.2,0.5,BIG-12
Texas Tech,LeJuan Watts,12.2,2.5,BIG-12
Kansas State,Nate Johnson,12.0,4.4,BIG-12
UCF,Jamichael Stillwell,11.9,2.2,BIG-12
Oklahoma State,Vyctorius Miller,11.7,1.8,BIG-12
West Virginia,Brenen Lorient,11.2,2.0,BIG-12
Cincinnati,Jizzle James,11.1,2.1,BIG-12
Baylor,Obi Agbim,11.0,3.1,BIG-12
Houston,Milos Uzan,11.0,4.0,BIG-12
Kansas State,David Castillo,11.0,1.8,BIG-12
Cincinnati,Day Day Thomas,10.9,3.5,BIG-12
Colorado,Bangot Dak,10.8,1.5,BIG-12
Arizona,Motiejus Krivas,10.6,1.1,BIG-12
TCU,Micah Robinson,10.6,1.9,BIG-12
Baylor,Isaac Williams,10.4,3.1,BIG-12
TCU,Jayden Pierre,10.2,2.6,BIG-12
