Team,Team_norm,TR_3P_Rate,TR_ORB_Pct,TR_TOV_PerPoss,Pulled_At_UTC
f dickinson,f dickinson,0.452,0.292,0.17600000000000002,2026-03-25 12:14:48
fairfield,fairfield,0.354,0.34600000000000003,0.15,2026-03-25 12:14:48
fgcu,fgcu,0.384,0.28800000000000003,0.155,2026-03-25 12:14:48
florida,florida,0.37,0.43,0.16,2026-03-25 12:14:48
florida aandm,florida aandm,0.377,0.292,0.21,2026-03-25 12:14:48
florida atlantic,florida atlantic,0.382,0.302,0.172,2026-03-25 12:14:48
florida intl,florida intl,0.327,0.322,0.172,2026-03-25 12:14:48
florida st,florida st,0.506,0.293,0.149,2026-03-25 12:14:48
fordham,fordham,0.38299999999999995,0.33299999999999996,0.168,2026-03-25 12:14:48
fresno st,fresno st,0.409,0.253,0.17800000000000002,2026-03-25 12:14:48
furman,furman,0.465,0.29,0.174,2026-03-25 12:14:48
g washington,g washington,0.47,0.34600000000000003,0.17800000000000002,2026-03-25 12:14:48
gardner-webb,gardner-webb,0.39799999999999996,0.207,0.19399999999999998,2026-03-25 12:14:48
george mason,george mason,0.35200000000000004,0.29100000000000004,0.154,2026-03-25 12:14:48
georgetown,georgetown,0.35200000000000004,0.314,0.154,2026-03-25 12:14:48
georgia,georgia,0.44299999999999995,0.325,0.139,2026-03-25 12:14:48
georgia so,georgia so,0.489,0.262,0.142,2026-03-25 12:14:48
georgia st,georgia st,0.424,0.248,0.155,2026-03-25 12:14:48
georgia tech,georgia tech,0.332,0.264,0.18100000000000002,2026-03-25 12:14:48
gonzaga,gonzaga,0.308,0.341,0.133,2026-03-25 12:14:48
grambling,grambling,0.381,0.284,0.207,2026-03-25 12:14:48
grand canyon,grand canyon,0.389,0.312,0.174,2026-03-25 12:14:48
green bay,green bay,0.373,0.226,0.156,2026-03-25 12:14:48
hampton,hampton,0.371,0.289,0.165,2026-03-25 12:14:48
harvard,harvard,0.402,0.248,0.171,2026-03-25 12:14:48
hawaii,hawaii,0.39799999999999996,0.29,0.184,2026-03-25 12:14:48
high point,high point,0.436,0.302,0.125,2026-03-25 12:14:48
hofstra,hofstra,0.428,0.33399999999999996,0.157,2026-03-25 12:14:48
holy cross,holy cross,0.373,0.192,0.15,2026-03-25 12:14:48
hou christian,hou christian,0.365,0.27399999999999997,0.184,2026-03-25 12:14:48
houston,houston,0.405,0.34299999999999997,0.125,2026-03-25 12:14:48
howard,howard,0.34700000000000003,0.326,0.187,2026-03-25 12:14:48
idaho,idaho,0.47,0.25,0.146,2026-03-25 12:14:48
idaho st,idaho st,0.419,0.316,0.16699999999999998,2026-03-25 12:14:48
illinois,illinois,0.504,0.389,0.128,2026-03-25 12:14:48
illinois chicago,illinois chicago,0.32799999999999996,0.342,0.172,2026-03-25 12:14:48
illinois st,illinois st,0.43200000000000005,0.268,0.16,2026-03-25 12:14:48
incarnate word,incarnate word,0.391,0.297,0.16699999999999998,2026-03-25 12:14:48
indiana,indiana,0.505,0.243,0.147,2026-03-25 12:14:48
indiana st,indiana st,0.452,0.228,0.191,2026-03-25 12:14:48
iona,iona,0.45899999999999996,0.24600000000000002,0.168,2026-03-25 12:14:48
iowa,iowa,0.42,0.28800000000000003,0.15,2026-03-25 12:14:48
iowa st,iowa st,0.38799999999999996,0.332,0.146,2026-03-25 12:14:48
iu indy,iu indy,0.42100000000000004,0.264,0.156,2026-03-25 12:14:48
j madison,j madison,0.425,0.287,0.16899999999999998,2026-03-25 12:14:48
jackson st,jackson st,0.433,0.272,0.19,2026-03-25 12:14:48
jacksonville,jacksonville,0.374,0.302,0.16899999999999998,2026-03-25 12:14:48
jacksonville st,jacksonville st,0.381,0.278,0.165,2026-03-25 12:14:48
kansas,kansas,0.35200000000000004,0.27899999999999997,0.152,2026-03-25 12:14:48
kansas city,kansas city,0.368,0.245,0.17800000000000002,2026-03-25 12:14:48
kansas st,kansas st,0.41,0.271,0.171,2026-03-25 12:14:48
kennesaw st,kennesaw st,0.425,0.335,0.162,2026-03-25 12:14:48
kent st,kent st,0.449,0.335,0.175,2026-03-25 12:14:48
kentucky,kentucky,0.397,0.321,0.151,2026-03-25 12:14:48
la salle,la salle,0.315,0.308,0.177,2026-03-25 12:14:48
lafayette,lafayette,0.39799999999999996,0.233,0.15,2026-03-25 12:14:48
lamar,lamar,0.33899999999999997,0.342,0.17600000000000002,2026-03-25 12:14:48
le moyne,le moyne,0.408,0.22899999999999998,0.188,2026-03-25 12:14:48
lehigh,lehigh,0.38299999999999995,0.212,0.174,2026-03-25 12:14:48
liberty,liberty,0.47700000000000004,0.16399999999999998,0.131,2026-03-25 12:14:48
lindenwood,lindenwood,0.307,0.311,0.18100000000000002,2026-03-25 12:14:48
lipscomb,lipscomb,0.479,0.23800000000000002,0.157,2026-03-25 12:14:48
little rock,little rock,0.31,0.297,0.18,2026-03-25 12:14:48
liu,liu,0.293,0.331,0.185,2026-03-25 12:14:48
long beach st,long beach st,0.348,0.233,0.17600000000000002,2026-03-25 12:14:48
longwood,longwood,0.348,0.33899999999999997,0.187,2026-03-25 12:14:48
louisiana,louisiana,0.405,0.263,0.163,2026-03-25 12:14:48
louisiana tech,louisiana tech,0.33399999999999996,0.35700000000000004,0.177,2026-03-25 12:14:48
louisville,louisville,0.529,0.316,0.165,2026-03-25 12:14:48
loyola chi,loyola chi,0.47700000000000004,0.28300000000000003,0.193,2026-03-25 12:14:48
loyola md,loyola md,0.47200000000000003,0.256,0.151,2026-03-25 12:14:48
loyola mymt,loyola mymt,0.40399999999999997,0.245,0.171,2026-03-25 12:14:48
lsu,lsu,0.345,0.32,0.153,2026-03-25 12:14:48
maine,maine,0.37,0.165,0.18600000000000003,2026-03-25 12:14:48
manhattan,manhattan,0.371,0.263,0.153,2026-03-25 12:14:48
marist,marist,0.34600000000000003,0.273,0.165,2026-03-25 12:14:48
marquette,marquette,0.42100000000000004,0.273,0.156,2026-03-25 12:14:48
marshall,marshall,0.44299999999999995,0.302,0.161,2026-03-25 12:14:48
maryland,maryland,0.469,0.316,0.18100000000000002,2026-03-25 12:14:48
maryland es,maryland es,0.335,0.307,0.233,2026-03-25 12:14:48
mcneese,mcneese,0.35200000000000004,0.335,0.13699999999999998,2026-03-25 12:14:48
memphis,memphis,0.337,0.331,0.183,2026-03-25 12:14:48
mercer,mercer,0.392,0.309,0.147,2026-03-25 12:14:48
mercyhurst,mercyhurst,0.311,0.23800000000000002,0.139,2026-03-25 12:14:48
merrimack,merrimack,0.461,0.225,0.145,2026-03-25 12:14:48
miami,miami,0.319,0.344,0.158,2026-03-25 12:14:48
miami oh,miami oh,0.456,0.235,0.14,2026-03-25 12:14:48
michigan,michigan,0.41700000000000004,0.341,0.161,2026-03-25 12:14:48
michigan st,michigan st,0.36700000000000005,0.364,0.16899999999999998,2026-03-25 12:14:48
middle tenn,middle tenn,0.45299999999999996,0.278,0.16699999999999998,2026-03-25 12:14:48
milwaukee,milwaukee,0.381,0.308,0.14800000000000002,2026-03-25 12:14:48
minnesota,minnesota,0.47200000000000003,0.24600000000000002,0.162,2026-03-25 12:14:48
miss valley st,miss valley st,0.302,0.24100000000000002,0.214,2026-03-25 12:14:48
mississippi,mississippi,0.355,0.258,0.136,2026-03-25 12:14:48
mississippi st,mississippi st,0.401,0.27699999999999997,0.157,2026-03-25 12:14:48
missouri,missouri,0.365,0.322,0.17300000000000001,2026-03-25 12:14:48
missouri st,missouri st,0.413,0.28,0.162,2026-03-25 12:14:48
monmouth,monmouth,0.344,0.294,0.162,2026-03-25 12:14:48
montana,montana,0.418,0.179,0.192,2026-03-25 12:14:48
montana st,montana st,0.447,0.251,0.145,2026-03-25 12:14:48
morehead st,morehead st,0.305,0.34600000000000003,0.17600000000000002,2026-03-25 12:14:48
morgan st,morgan st,0.35200000000000004,0.268,0.171,2026-03-25 12:14:48
mt state marys,mt state marys,0.426,0.317,0.22,2026-03-25 12:14:48
murray st,murray st,0.44799999999999995,0.319,0.16,2026-03-25 12:14:48
n alabama,n alabama,0.337,0.28300000000000003,0.171,2026-03-25 12:14:48
n arizona,n arizona,0.36700000000000005,0.21899999999999997,0.157,2026-03-25 12:14:48
n colorado,n colorado,0.415,0.24100000000000002,0.151,2026-03-25 12:14:48
n dakota st,n dakota st,0.428,0.311,0.153,2026-03-25 12:14:48
n florida,n florida,0.517,0.225,0.175,2026-03-25 12:14:48
n illinois,n illinois,0.45,0.275,0.213,2026-03-25 12:14:48
n iowa,n iowa,0.391,0.195,0.141,2026-03-25 12:14:48
n kentucky,n kentucky,0.449,0.305,0.159,2026-03-25 12:14:48
n texas,n texas,0.32299999999999995,0.319,0.163,2026-03-25 12:14:48
navy,navy,0.331,0.305,0.165,2026-03-25 12:14:48
nc aandt,nc aandt,0.327,0.294,0.18100000000000002,2026-03-25 12:14:48
nc asheville,nc asheville,0.336,0.282,0.17,2026-03-25 12:14:48
